time,interval,encR,encL,wR,wL,wdotR,wdotL,wddotR,wddotL,pwmR,pwmL,x,y,theta,x_ref,y_ref,theta_ref,vel_v,vel_w,e_x,e_y,e_theta,u_R,u_L,tau_R,tau_L
1548676005.801177,0.02904510498046875,239,251,73.32428166093364,77.00583555185919,1833.107041523341,1925.1458887964798,45827.676038083526,48128.647219911996,581.18773867193204,294.58539190000221,-0.022412681667704774,0.032659373712476465,-0.3713638527121022,9.9396705627441414e-05,0.0,9.9396705627441414e-05,0.0,0.0,9.9396705627441414e-05,0.0,9.9396705627441414e-05,1.1303270420826024,0.052517644557698688,0.032288207703996222,0.016365855105555677
1548676005.848498,0.04261302947998047,239,251,0.0,0.0,-1833.107041523341,-1925.1458887964798,-91655.35207616705,-96257.29443982399,581.18773867193204,294.58539190000221,-0.022407806319802676,0.032653871447550852,-0.37138917913082431,9.9396705627441414e-05,0.0,9.9396705627441414e-05,0.0,0.0,9.9396705627441414e-05,0.0,9.9396705627441414e-05,1.1303270420826024,0.052517644557698688,0.032288207703996222,0.016365855105555677
1548676005.880249,0.031071901321411133,239,251,0.0,0.0,0.0,0.0,45827.676038083526,48128.647219911996,593.92306780181775,-0.702205036798631,-0.022389858010817287,0.032649094850428967,-0.37117584883472571,0.0094283818737770295,9.2727039561505103e-07,0.0094283819198608398,0.0,0.0,0.041520858885737359,-0.018879854064067884,0.3808030932978872,1.1821029742546865,0.11112565724292303,0.04195758263643732,0.0089228452565141871
1548676005.929101,0.04822802543640137,239,251,0.0,0.0,0.0,0.0,0.0,0.0,593.92306780181775,-0.702205036798631,-0.022425386514630139,0.032657391634926786,-0.37137829434459757,0.0094283818737770295,9.2727039561505103e-07,0.0094283819198608398,0.0,0.0,0.041520858885737359,-0.018879854064067884,0.3808030932978872,1.1821029742546865,0.11112565724292303,0.04195758263643732,0.0089228452565141871
1548676005.961871,0.03124690055847168,239,251,0.0,0.0,0.0,0.0,0.0,0.0,593.92306780181775,-0.702205036798631,-0.022415443862624104,0.032643747788620316,-0.37132516921700248,0.018658180016875445,8.7951911014572088e-05,0.018658590316772462,0.0,0.0,0.050087236809955492,-0.01543344201927639,0.38998375953377495,1.2062789907533538,0.11420394091325867,0.04195758263643732,0.0089228452565141871
1548676006.008804,0.04691195487976074,239,253,0.0,0.6135923151542565,0.0,15.339807878856412,0.0,383.4951969714103,772.68178938383539,161.87814945926033,-0.022439638315897969,0.03265108727253848,-0.37194818041612226,0.018658180016875445,8.7951911014572088e-05,0.018658590316772462,0.0,0.0,0.050087236809955492,-0.01543344201927639,0.38998375953377495,1.2062789907533538,0.11420394091325867,0.042926766076879744,0.0089932305255144632
1548676006.04015,0.031038999557495117,239,7,0.0,-75.47185476397354,0.0,-1902.1361769781947,0.0,-47936.89962142627,772.68178938383539,161.87814945926033,-0.021863715106038205,0.032536668357201454,-0.38615393359795142,0.018658180016875445,8.7951911014572088e-05,0.018658590316772462,0.0,0.0,0.050087236809955492,-0.01543344201927639,0.38998375953377495,1.2062789907533538,0.11420394091325867,0.042926766076879744,0.0089932305255144632
1548676006.088425,0.047145843505859375,239,21,0.0,4.295146206079795,0.0,1994.1750242513333,0.0,97407.7800307382,795.11860899548378,144.65623825447685,-0.018620831824955188,0.031578992774183301,-0.41370477307774861,0.027987662923803804,0.0002620471142528902,0.027989697456359864,0.0,0.0,0.057140501939458951,-0.010530379604775503,0.42464117884568658,1.2133091250830137,0.12170679033429441,0.044173256055304658,0.0080490363232649312
1548676006.122519,0.03187394142150879,244,35,1.533980787885641,4.295146206079795,38.34951969714103,0.0,958.7379924285257,-49854.375606283334,795.11860899548378,144.65623825447685,-0.016577574419970202,0.031080708329442843,-0.42917556376772908,0.027987662923803804,0.0002620471142528902,0.027989697456359864,0.0,0.0,0.057140501939458951,-0.010530379604775503,0.42464117884568658,1.2133091250830137,0.12170679033429441,0.044173256055304658,0.0080490363232649312
1548676006.169627,0.04652214050292969,0,47,-74.85826244881929,3.6815538909255388,-1909.8060809176231,-15.339807878856403,-48703.8900153691,-383.49519697141005,795.11860899548378,144.65623825447685,-0.012135774716857792,0.030997476908967977,-0.42778074215248219,0.037451270382534749,0.00052699981751079994,0.03745701313018799,0.0,0.0,0.058573663543353735,-0.0065532377174472509,0.46708191887087647,1.1959799767148962,0.12998728623597078,0.044173256055304658,0.0080490363232649312
